JournalTitle	JrId	NlmId	IsoAbbr	MedAbbr	ISSN (Print)	ISSN (Online)
IEEE access : practical innovations, open solutions	43012	101639462	IEEE Access	IEEE Access		2169-3536
Vestnik Leningradskogo universiteta. Seriia biologii	43013	0414650	Vestn Leningr Univ Ser Biol	Vestn Leningr Univ Ser Biol		
International journal of cardiology. Heart & vessels	43022	101640846	Int J Cardiol Heart Vessels	Int J Cardiol Heart Vessels		2214-7632
Advances in enzyme research	43023	101641045	Adv Enzyme Res	Adv Enzyme Res	2328-4846	2328-4854
Advances in Alzheimer's disease	43024	101641046	Adv Alzheimer Dis	Adv Alzheimer Dis	2169-2459	2169-2467
Journal of fasting and health	43025	101641049	J Fasting Health	J Fasting Health		2345-2587
New horizons in translational medicine	43026	101641054	New Horiz Transl Med	New Horiz Transl Med	2352-7536	2307-5023
International journal of medicine	43027	101640726				2309-1622
IFIP advances in information and communication technology	43028	101640727	IFIP Adv Inf Commun Technol	IFIP Adv Inf Commun Technol	1868-4238	1868-422X
Journal of entomology and zoology studies	43029	101641474	J Entomol Zool Stud	J Entomol Zool Stud	2349-6800	2320-7078
Evolutionary computation, machine learning and data mining in bioinformatics. EvoBIO (Conference), author	43030	101641349	Evol Comput Mach Learn Data Min Bioinform	Evol Comput Mach Learn Data Min Bioinform		
Cardiologie tunisienne	43031	101640870	Cardiol Tunis	Cardiol Tunis		
Journal of applied social science	43032	101640883	J Appl Soc Sci (Boulder)	J Appl Soc Sci (Boulder)	1936-7244	1937-0245
Micromachines	43033	101640903	Micromachines (Basel)	Micromachines (Basel)		2072-666X
Journal of indigenous social development	43035	101641122	J Indig Soc Dev	J Indig Soc Dev		2164-9170
The Egyptian journal of internal medicine	43036	101641145	Egypt J Intern Med	Egypt J Intern Med	1110-7782	2090-9098
North Carolina journal of law & technology	43037	101641147	N C J Law Technol	N C J Law Technol	1542-5177	1542-5185
Journal of cytology & histology	43038	101641043	J Cytol Histol	J Cytol Histol		2157-7099
Rheologica acta	43039	101641048	Rheol Acta	Rheol Acta	0035-4511	1435-1528
International journal of general systems	43040	101641052	Int J Gen Syst	Int J Gen Syst	0308-1079	1563-5104
Annals of translational medicine & epidemiology	43043	101641864	Ann Transl Med Epidemiol	Ann Transl Med Epidemiol		
SOJ pharmacy & pharmaceutical sciences	43044	101641865	SOJ Pharm Pharm Sci	SOJ Pharm Pharm Sci		2374-6866
Machine learning in medical imaging. MLMI (Workshop), author	43045	101641981	Mach Learn Med Imaging	Mach Learn Med Imaging		
International journal of advanced computer science	43046	101641544	Int J Adv Comput Sci	Int J Adv Comput Sci		2251-6379
Journal on technology and persons with disabilities : ... Annual International Technology and Persons with Disabilities Conference	43047	101641545	J Technol Pers Disabil	J Technol Pers Disabil		2330-4219
Eurographics Symposium on Parallel Graphics and Visualization : EG PGV : [proceedings] / sponsored by Eurographics Association in cooperation with ACM SIGGRAPH. Eurographics Symposium on Parallel Graphics and Visualization	43048	101641594	Eurographics Symp Parallel Graph Vis	Eurographics Symp Parallel Graph Vis		
Cancer treatment communications	43049	101641616	Cancer Treat Commun	Cancer Treat Commun		2213-0896
Annual review of political science (Palo Alto, Calif.)	43050	101641624	Annu Rev Polit Sci (Palo Alto)	Annu Rev Polit Sci (Palo Alto)	1094-2939	1545-1577
ISRN virology	43051	101641628	ISRN Virol	ISRN Virol		2090-8814
Statistics and public policy (Philadelphia, Pa.)	43052	101641701	Stat Public Policy (Phila)	Stat Public Policy (Phila)		2330-443X
Metron	43053	101641706	Metron	Metron	0026-1424	2281-695X
Journal of cancer biology & research	43054	101641722	J Cancer Biol Res	J Cancer Biol Res		2373-9436
Journal of comparative physiology	43055	7502104	J Comp Physiol	J Comp Physiol	0302-9824	
Scientific data	43056	101640192	Sci Data	Sci Data		2052-4463
International journal of medical and biomedical sciences	43057	101642100	Int J Med Biomed Sci	Int J Med Biomed Sci		
Metabolic engineering communications	43058	101642117	Metab Eng Commun	Metab Eng Commun		2214-0301
Education economics	43059	101642133	Educ Econ	Educ Econ	0964-5292	1469-5782
Biocybernetics and biomedical engineering / Polish Academy of Sciences, Institute of Biocybernetics and Biomedical Engineering	43061	8212385	Biocybern Biomed Eng	Biocybern Biomed Eng	0208-5216	
Journal of medical imaging and health informatics	43062	101570358	J Med Imaging Health Inform	J Med Imaging Health Inform	2156-7018	2156-7026
Families and child health / Nancy S. Landale, Susan M. McHale, Alan Booth, editors	43063	101606992	Families Child Health	Families Child Health		
Journal of otology & rhinology	43064	101642588	J Otol Rhinol	J Otol Rhinol		2324-8785
Advances in ophthalmology & visual system	43065	101642609	Adv Ophthalmol Vis Syst	Adv Ophthalmol Vis Syst		
Burnout research	43066	101642616	Burn Res	Burn Res		2213-0586
American journal of engineering education	43067	101642634	Am J Eng Educ	Am J Eng Educ	2153-2516	2157-9644
Living to 100 monograph	43068	101642482	Living 100 Monogr	Living 100 Monogr		
Current clinical microbiology reports	43069	101642669	Curr Clin Microbiol Rep	Curr Clin Microbiol Rep		2196-5471
Proceedings of the ASME Dynamic Systems and Control Conference. ASME Dynamic Systems and Control Conference	43070	101642713	Proc ASME Dyn Syst Control Conf	Proc ASME Dyn Syst Control Conf	2151-1853	
Open journal of medicinal chemistry	43071	101642406	Open J Med Chem	Open J Med Chem	2164-3121	2164-313X
Journal of translational medicine & epidemiology	43072	101642408	J Transl Med Epidemiol	J Transl Med Epidemiol		2333-7125
Parallel processing letters	43073	101642410	Parallel Process Lett	Parallel Process Lett	0129-6264	1793-642X
Journal of qualitative criminal justice & criminology : JQCJC / Southwestern Association of Criminal Justice	43075	101642473	J Qual Crim Justice Criminol	J Qual Crim Justice Criminol		
Journal of open research software	43076	101642258	J Open Res Softw	J Open Res Softw		2049-9647
Frontiers in nutrition	43077	101642264	Front Nutr	Front Nutr		2296-861X
Case reports in clinical pathology	43078	101642269	Case Rep Clin Pathol	Case Rep Clin Pathol	2331-2726	2331-2734
Semiconductor science and technology	43079	101642274	Semicond Sci Technol	Semicond Sci Technol	0268-1242	1361-6641
Molecular & cellular oncology	43080	101642411	Mol Cell Oncol	Mol Cell Oncol	2372-3548	2372-3556
Catalysis reviews, science and engineering	43081	8010600	Catal Rev Sci Eng	Catal Rev Sci Eng	0161-4940	1520-5703
International journal of public health research	43082	101613429	Int J Public Health Res	Int J Public Health Res	2232-0253	2232-0245
Journal of postsecondary education and disability	43083	101642518	J Postsecond Educ Disabil	J Postsecond Educ Disabil		
International journal of migration and border studies	43084	101642530	Int J Migr Bord Stud	Int J Migr Bord Stud	1755-2419	1755-2427
Journal of sleep medicine and disorders	43085	101642538	J Sleep Med Disord	J Sleep Med Disord		
International journal of public opinion research	43086	101643109	Int J Public Opin Res	Int J Public Opin Res	0954-2892	1471-6909
Open forum infectious diseases	43087	101637045	Open Forum Infect Dis	Open Forum Infect Dis		2328-8957
Clinical medicine insights. Blood disorders	43088	101640243	Clin Med Insights Blood Disord	Clin Med Insights Blood Disord		1179-545X
Nursing and midwifery studies	43089	101606711	Nurs Midwifery Stud	Nurs Midwifery Stud	2322-1488	2322-1674
Clinical & translational immunology	43090	101638268	Clin Transl Immunology	Clin Transl Immunology		2050-0068
ACG case reports journal	43091	101638398	ACG Case Rep J	ACG Case Rep J		2326-3253
BMJ open respiratory research	43092	101638061	BMJ Open Respir Res	BMJ Open Respir Res		2052-4439
International journal of community based nursing and midwifery	43093	101615484	Int J Community Based Nurs Midwifery	Int J Community Based Nurs Midwifery	2322-2476	2322-4835
Cell regeneration (London, England)	43094	101627311	Cell Regen (Lond)	Cell Regen (Lond)		2045-9769
BMC psychology	43095	101627676	BMC Psychol	BMC Psychol		2050-7283
British journal of pain	43096	101583844	Br J Pain	Br J Pain	2049-4637	2049-4645
Immunity, inflammation and disease	43097	101635460	Immun Inflamm Dis	Immun Inflamm Dis		2050-4527
Case reports in hepatology	43098	101622103	Case Reports Hepatol	Case Reports Hepatol	2090-6587	2090-6595
Case reports in immunology	43099	101622188	Case Reports Immunol	Case Reports Immunol	2090-6609	2090-6617
Journal of advances in medical education & professionalism	43100	101617859	J Adv Med Educ Prof	J Adv Med Educ Prof	2322-2220	2322-3561
Intestinal research	43101	101572802	Intest Res	Intest Res	1598-9100	2288-1956
Ulusal cerrahi dergisi	43103	9425625	Ulus Cerrahi Derg	Ulus Cerrahi Derg	1300-0705	1308-8521
Open journal of cardiovascular surgery	43104	101640245	Open J Cardiovasc Surg	Open J Cardiovasc Surg		1179-0652
World journal of plastic surgery	43105	101639130	World J Plast Surg	World J Plast Surg	2228-7914	2252-0724
Surgery research and practice	43106	101628730	Surg Res Pract	Surg Res Pract	2356-7759	2356-6124
Multimodal brain image analysis : first international workshop, MBIA 2011, held in conjunction with MICCAI 2011, Toronto, Canada, September 18, 2011 : proceedings / Tianming Liu ... [et al.], (eds.)	43107	101571471	Multimodal Brain Image Anal (2011)	Multimodal Brain Image Anal (2011)		
Multimodal brain image analysis : third International Workshop, MBIA 2013, held in conjunction with MICCAI 2013, Nagoya, Japan, September 22, 2013 : proceedings / Li Shen, Tianming Liu, Pew-Thian Yap, Heng Huang, Dinggang Shen, Carl-Fre...	43108	101643449	Multimodal Brain Image Anal (2013)	Multimodal Brain Image Anal (2013)		
Journal of the Japanese Physical Therapy Association = Rigaku ryoho	43109	101213328	J Jpn Phys Ther Assoc	J Jpn Phys Ther Assoc	1344-1272	2188-8361
Journal of menopausal medicine	43110	101632648	J Menopausal Med	J Menopausal Med	2288-6478	2288-6761
Journal of renal injury prevention	43111	101642540	J Renal Inj Prev	J Renal Inj Prev		2345-2781
Movement ecology	43112	101635009	Mov Ecol	Mov Ecol		2051-3933
Journal of intensive care	43113	101627304	J Intensive Care	J Intensive Care		2052-0492
Epidemiology, biostatistics, and public health	43114	101605278	Epidemiol Biostat Public Health	Epidemiol Biostat Public Health	2282-2305	2282-0930
Clinical image-based procedures : translational research in medical imaging : Second international workshop, CLIP 2013, held in conjunction with MICCAI 2013, Nagoya, Japan, September 22, 2013, Revised selected papers / Marius Erdt...[an...	43115	101641966	Clin Image Based Proced	Clin Image Based Proced		
Open Journal of Anesthesiology	43116	101643406	Open J Anesthesiol	Open J Anesthesiol	2164-5531	2164-5558
Neurobiology of stress	43117	101643409	Neurobiol Stress	Neurobiol Stress		2352-2895
OA genetics	43118	101643314	OA Genet	OA Genet		2054-197X
Gastroenterology and hepatology	43119	101643327	Gastroenterol Hepatol (Que)	Gastroenterol Hepatol (Que)	1925-9611	1925-962X
Journal of hip preservation surgery	43121	101643347	J Hip Preserv Surg	J Hip Preserv Surg		2054-8397
Law, probability & risk : a journal of reasoning under uncertainty	43123	101643112	Law Probab Risk	Law Probab Risk	1470-8396	1470-840X
Hawaii journal of public health	43124	101643129	Hawaii J Public Health	Hawaii J Public Health	1946-4681	1946-4673
Journal of medical imaging (Bellingham, Wash.)	43125	101643461	J Med Imaging (Bellingham)	J Med Imaging (Bellingham)	2329-4302	2329-4310
Computational medicine, public health, and biotechnology : building a man in the machine / editor, Matthew Witten	43127	9615715	Comput Med Public Health Biotechnol (1994)	Comput Med Public Health Biotechnol (1994)		
Open health data	43128	101643643	Open Health Data	Open Health Data		2054-7102
International journal of law, crime and justice	43129	101643514	Int J Law Crime Justice	Int J Law Crime Justice	1756-0616	1876-763X
Journal of international consumer marketing	43130	101643524	J Int Consum Mark	J Int Consum Mark	0896-1530	1528-7068
Journal of substance abuse and alcoholism	43131	101643546	J Subst Abus Alcohol	J Subst Abus Alcohol		2373-9363
Palliative medicine & care : open access	43132	101643552	Palliat Med Care	Palliat Med Care		2374-8362
The Lancet. Haematology	43133	101643584	Lancet Haematol	Lancet Haematol		2352-3026
Austin Alzheimer's and Parkinson's disease	43134	101643592	Austin Alzheimers Parkinsons Dis	Austin Alzheimers Parkinsons Dis		
Clinical thyroidology	43135	101643593	Clin Thyroidol	Clin Thyroidol	2329-9711	2329-972X
Optica	43136	101643595	Optica	Optica		2334-2536
EHQUIDAD	43138	101643738	EHQUIDAD	EHQUIDAD		
Transportation research. Part D, Transport and environment	43139	101643741	Transp Res D Transp Environ	Transp Res D Transp Environ	1361-9209	1879-2340
GSTF journal on media & communications	43140	101643743	GSTF J Media Commun	GSTF J Media Commun	2335-6618	2335-6626
Journal of nutritional health & food science	43141	101643744	J Nutrit Health Food Sci	J Nutrit Health Food Sci		2372-0980
University of Pennsylvania journal of constitutional law	43142	101643761	Univ Pa J Const Law	Univ Pa J Const Law	1521-2823	1942-8561
Preventive medicine reports	43143	101643766	Prev Med Rep	Prev Med Rep		2211-3355
Development (Society for International Development)	43144	9886584	Development (Rome)	Development (Rome)	1011-6370	1461-7072
Seventh Conference on Health Survey Research Methods / edited by Marcie L. Cynamon and Richard A. Kulka. Conference on Health Survey Research Methods (7th : 1999 : Williamsburg, Va.), author	43145	101643774	Seventh Conf Health Survey Res Methods (1999)	Seventh Conf Health Survey Res Methods (1999)		
Central-European journal of immunology / Polish Society for Immunology and eleven other Central-European immunological societies	43146	9702239	Cent Eur J Immunol	Cent Eur J Immunol	1426-3912	1644-4124
Kardiochirurgia i torakochirurgia polska = Polish journal of cardio-thoracic surgery	43148	101279148	Kardiochir Torakochirurgia Pol	Kardiochir Torakochirurgia Pol	1731-5530	1897-4252
Przeglad menopauzalny = Menopause review	43149	101263235	Prz Menopauzalny	Prz Menopauzalny	1643-8876	2299-0038
Korean journal of hepato-biliary-pancreatic surgery	43150	101479046	Korean J Hepatobiliary Pancreat Surg	Korean J Hepatobiliary Pancreat Surg	1738-6349	2288-9213
Auto- immunity highlights	43151	101532391	Auto Immun Highlights	Auto Immun Highlights	2038-0305	2038-3274
Dermatology reports	43152	101566470	Dermatol Reports	Dermatol Reports	2036-7392	2036-7406
International archives of otorhinolaryngology	43153	101637652	Int Arch Otorhinolaryngol	Int Arch Otorhinolaryngol	1809-9777	1809-4864
Endoscopy international open	43154	101639919	Endosc Int Open	Endosc Int Open	2364-3722	2196-9736
BioMedicine	43155	101611451	Biomedicine (Taipei)	Biomedicine (Taipei)	2211-8020	2211-8039
Maxillofacial plastic and reconstructive surgery	43156	101633100	Maxillofac Plast Reconstr Surg	Maxillofac Plast Reconstr Surg	2288-8101	2288-8586
Autopsy & case reports	43157	101640070	Autops Case Rep	Autops Case Rep		2236-1960
BMJ open diabetes research & care	43158	101641391	BMJ Open Diabetes Res Care	BMJ Open Diabetes Res Care		2052-4897
Journal of orthopaedic case reports	43159	101641392	J Orthop Case Reports	J Orthop Case Reports		2321-3817
Neurology and therapy	43160	101637818	Neurol Ther	Neurol Ther	2193-8253	2193-6536
International journal of reproductive medicine	43161	101633172	Int J Reprod Med	Int J Reprod Med	2356-7104	2314-5757
Research in cardiovascular medicine	43162	101608315	Res Cardiovasc Med	Res Cardiovasc Med	2251-9572	2251-9580
Joints	43163	101643623	Joints	Joints		2282-4324
Annals of medicine and surgery (2012)	43164	101616869	Ann Med Surg (Lond)	Ann Med Surg (Lond)		2049-0801
Journal of lifestyle medicine	43165	101621214	J Lifestyle Med	J Lifestyle Med	2234-8549	2288-1557
Journal of exercise nutrition & biochemistry	43166	101572566	J Exerc Nutrition Biochem	J Exerc Nutrition Biochem	2233-6834	2233-6842
Journal of pharmacopuncture	43167	101572812	J Pharmacopuncture	J Pharmacopuncture	2093-6966	2234-6856
Adult education quarterly (American Association for Adult and Continuing Education)	43169	9882469	Adult Educ Q (Am Assoc Adult Contin Educ)	Adult Educ Q (Am Assoc Adult Contin Educ)	0741-7136	1552-3047
IJC metabolic & endocrine	43170	101643909	IJC Metab Endocr	IJC Metab Endocr		2214-7624
Adaptive human behavior and physiology	43171	101643929	Adapt Human Behav Physiol	Adapt Human Behav Physiol		2198-7335
Jacobs journal of allergy and immunology	43172	101643938	Jacobs J Allergy Immunol	Jacobs J Allergy Immunol		
Neuroimmunology and neuroinflammation	43173	101643739	Neuroimmunol Neuroinflamm	Neuroimmunol Neuroinflamm	2347-8659	2349-6142
Critical reviews in analytical chemistry / CRC	43174	9004784	Crit Rev Anal Chem	Crit Rev Anal Chem	1040-8347	1547-6510
A & A case reports	43175	101637720	A A Case Rep	A A Case Rep		2325-7237
OT practice	43178	9602488	OT Pract	OT Pract	1084-4902	
ISRN Rehabilitation	43179	101644678	ISRN Rehabil	ISRN Rehabil	2090-6129	2090-6137
Audiology research	43180	101644681	Audiol Res	Audiol Res	2039-4330	2039-4349
International scholarly research notices	43181	101641951	Int Sch Res Notices	Int Sch Res Notices		2356-7872
International journal of health sciences and research	43182	101644687	Int J Health Sci Res	Int J Health Sci Res		2249-9571
Education finance and policy	43183	101644694	Educ Finance Policy	Educ Finance Policy	1557-3060	1557-3079
Journal of clinical and experimental research in cardiology	43184	101644703	J Clin Exp Res Cardiol	J Clin Exp Res Cardiol		
Journal of international business studies	43186	101639186	J Int Bus Stud	J Int Bus Stud	0047-2506	1478-6990
International journal of neurology & brain disorders	43187	101644243	Int J Neurol Brain Disord	Int J Neurol Brain Disord		
Information security and computer fraud	43189	101644273	Inf Secur Comput Fraud	Inf Secur Comput Fraud		
Current issues in education (Tempe, Ariz.)	43190	101644279	Curr Issues Educ (Tempe)	Curr Issues Educ (Tempe)		1099-839X
Case reports in internal medicine	43191	101644283	Case Rep Intern Med	Case Rep Intern Med	2332-7243	2332-7251
Journal of pharmaceutical sciences and pharmacology	43192	101644298	J Pharm Sci Pharmacol	J Pharm Sci Pharmacol	2333-3715	2333-3723
Medical encounter	43193	101644795	Med Encount	Med Encount		
ITAB 2010 Corfu, Greece : 10th International Conference on Information Technology and Applications in Biomedicine : Emerging Technologies for Patient Specific Healthcare : 2-5 November 2010, Aquis Corfu Holiday Palace Hotel, Greece. Int...	43194	101644797	ITAB Corfu Greece (2010)	ITAB Corfu Greece (2010)		
American journal of cancer therapy and pharmacology	43198	101646044	Am J Cancer Ther Pharmacol	Am J Cancer Ther Pharmacol		
The Journal of privacy and confidentiality	43199	101646049	J Priv Confid	J Priv Confid		
The AFCS-nature molecule pages	43200	101644975	AFCS Nat Mol Pages	AFCS Nat Mol Pages		1477-5921
Survey practice	43201	101630229	Surv Pract	Surv Pract		2168-0094
Journal of managed care medicine : JMCM	43202	9807949	J Manag Care Med	J Manag Care Med	1094-1525	
Alternative & complementary therapies : a new bimonthly publication for health care practitioners	43203	9500579	Altern Complement Ther	Altern Complement Ther	1076-2809	1557-9085
Klinik psikofarmakoloji bulteni = Bulletin of clinical psychopharmacology	43204	9440289	Klinik Psikofarmakol Bulteni	Klinik Psikofarmakol Bulteni	1302-9657	
Journal of disability policy studies	43205	9102702	J Disabil Policy Stud	J Disabil Policy Stud	1044-2073	1538-4802
Zeitschrift fur klinische Psychologie und Psychotherapie (Gottingen, Germany)	43206	101126515	Z Klin Psychol Psychother (Gott)	Z Klin Psychol Psychother (Gott)	1616-3443	2190-6297
Current sexual health reports	43207	101235593	Curr Sex Health Rep	Curr Sex Health Rep	1548-3584	1548-3592
Psicologica : revista de metodologia y psicologia experimental	43208	101229263	Psicologica (Valencia)	Psicologica (Valencia)	0211-2159	1576-8597
Healthcare infection	43209	101464374	Healthc Infect	Healthc Infect	1835-5617	1835-5625
Journal of plant registrations	43210	101591869	J Plant Regist	J Plant Regist	1936-5209	1940-3496
Journal of molecular pharmaceutics & organic process research	43211	101645268	J Mol Pharm Org Process Res	J Mol Pharm Org Process Res		2329-9053
Neuroepigenetics	43212	101645273	Neuroepigenetics	Neuroepigenetics		2214-7845
The lancet. HIV	43213	101645355	Lancet HIV	Lancet HIV		2352-3018
Advances in statistical analysis : AStA : a journal of the German Statistical Society	43214	101645386	Adv Stat Anal	Adv Stat Anal	1863-8171	1863-818X
Biometrics & biostatistics international journal	43215	101645389	Biom Biostat Int J	Biom Biostat Int J		
Austin journal of urology	43216	101646100	Austin J Urol	Austin J Urol		
Journal of women's health care	43217	101646135	J Womens Health Care	J Womens Health Care		2167-0420
Bone reports	43218	101646176	Bone Rep	Bone Rep		2352-1872
Therapeutic targets for neurological diseases	43219	101645414	Ther Targets Neurol Dis	Ther Targets Neurol Dis		2376-0478
The international journal on school disaffection	43220	101645432	Int J School Disaffect	Int J School Disaffect	1478-8497	1747-9207
Translational issues in psychological science	43221	101645472	Trans Issues Psychol Sci	Trans Issues Psychol Sci	2332-2136	2332-2179
Universal access in human-computer interaction : 5th international conference, UAHCI 2009, held as part of HCI International 2009, San Diego, CA, USA, July 19-24, 2009 : proceedings / Constantine Stephanidis (ed.). International Confere...	43222	101645483	Univers Access Hum Comput Interact (2009)	Univers Access Hum Comput Interact (2009)		
JMIR medical informatics	43223	101645109	JMIR Med Inform	JMIR Med Inform		2291-9694
Robotics and biomimetics	43224	101645154	Robotics Biomim	Robotics Biomim		2197-3768
Gastrointestinal cancer : targets and therapy	43225	101645249	Gastrointest Cancer	Gastrointest Cancer		1179-9919
JMIR serious games	43226	101645255	JMIR Serious Games	JMIR Serious Games		2291-9279
Enliven. Challenges in cancer detection and therapy	43227	101645258	Enliven Chall Cancer Detect Ther	Enliven Chall Cancer Detect Ther		2376-046X
Current opinion in behavioral sciences	43228	101644944	Curr Opin Behav Sci	Curr Opin Behav Sci		2352-1554
Journal of contemporary diabetes research	43229	101644973	J Contemp Diabetes Res	J Contemp Diabetes Res		
Turkish journal of medical sciences	43230	9441758	Turk J Med Sci	Turk J Med Sci	1300-0144	1303-6165
JBJS case connector	43232	101596828	JBJS Case Connect	JBJS Case Connect		2160-3251
Data integration in the life sciences : ... International Workshop, DILS ... : proceedings. DILS (Conference)	43233	101641609	Data Integr Life Sci	Data Integr Life Sci		
Journal of international studies and development	43234	101646500	J Int Stud Dev	J Int Stud Dev		2156-731X
Advances in geriatrics	43235	101646506	Adv Geriatr	Adv Geriatr	2356-6736	2314-7679
ESAIM. Probability and statistics = Probabilites et statistique : P & S	43236	101646508	ESAIM Probab Stat	ESAIM Probab Stat	1292-8100	1262-3318
Spatio-temporal image analysis for longitudinal and time-series image data : Second International Workshop, STIA 2012, held in conjunction with MICCAI 2012, Nice, France, October 1, 2012, proceedings / Stanley Durrleman, Tom Flecher, Gu...	43237	101643955	Spatiotemporal Image Anal Longitud Time Ser Image Data (2012)	Spatiotemporal Image Anal Longitud Time Ser Image Data (2012)		
Computers helping people with special needs : ... International Conference, ICCHP ... : proceedings. International Conference on Computers Helping People with Special Needs	43239	101644125	Comput Help People Spec Needs	Comput Help People Spec Needs		
APL materials	43240	101645742	APL Mater	APL Mater		2166-532X
Austin journal of cerebrovascular disease & stroke	43241	101645824	Austin J Cerebrovasc Dis Stroke	Austin J Cerebrovasc Dis Stroke		2381-9103
American journal of modern chromatography	43242	101645831	Am J Mod Chromatogr	Am J Mod Chromatogr		2374-5479
Journal of Parkinson's disease and Alzheimer's disease	43243	101645837	J Parkinsons Dis Alzheimers Dis	J Parkinsons Dis Alzheimers Dis		2376-922X
World journal of pharmacology	43244	101645844	World J Pharmacol	World J Pharmacol		2220-3192
International journal of disability, development, and education	43245	9012870	Intl J Disabil Dev Educ	Intl J Disabil Dev Educ	1034-912X	1465-346X
East Asian science, technology and society	43246	101568481	East Asian Sci Technol Soc	East Asian Sci Technol Soc	1875-2160	1875-2152
African journal of health professions education	43247	101554996	Afr J Health Prof Educ	Afr J Health Prof Educ		2078-5127
Multimodal brain image analysis : second International Workshop, MBIA 2012, held in conjunction with MICCAI 2012, Nice, France, October 1-5, 2012 : proceedings / Pew-Thian Yap ... [et al.], (eds.). MBIA (Workshop) (2nd : 2012 : Nice, Fr...	43248	101594574	Multimodal Brain Image Anal (2012)	Multimodal Brain Image Anal (2012)		
Abdominal imaging : computation and clinical applications : 5th International Workshop, held in conjunction with MICCAI 2013, Nagoya, Japan, September 22, 2013 : proceedings / Hiroyuki Yoshida, Simon Warfield, Michael W. Vannier (eds.)....	43250	101646294	Abdom Imaging (2013)	Abdom Imaging (2013)		
Austin journal of clinical ophthalmology	43251	101646297	Austin J Clin Ophthalmol	Austin J Clin Ophthalmol		2381-9162
Indian journal of community health	43252	101646301	Indian J Community Health	Indian J Community Health	0971-7587	2248-9509
Signal, image and video processing	43254	101646680	Signal Image Video Process	Signal Image Video Process	1863-1703	1863-1711
"Quantum bio-informatics V : proceedings of the quantum bio-informatics 2011, Tokyo University of Science, Japan, 7-12 March 2011 / editors, Luigi Accardi (Universita di Roma ""Tor Vergata"", Italy), Wolfgang Freudenberg (Brandenburgische ..."	43255	101646689	Quantum Bioinform V (2011)	Quantum Bioinform V (2011)		
OA women's health	43256	101646655	OA Womens Health	OA Womens Health		2053-0501
Advances in developing human resources	43257	101646684	Adv Dev Hum Resour	Adv Dev Hum Resour	1523-4223	1552-3055
Digital culture & education	43258	101646687	Digit Cult Educ	Digit Cult Educ		1836-8301
Journal of exercise, sports & orthopedics	43259	101646835	J Exerc Sports Orthop	J Exerc Sports Orthop		2374-6904
ESAIM. Proceedings and surveys	43260	101646925	ESAIM Proc Surv	ESAIM Proc Surv		2267-3059
Work-life policies / edited by Ann C. Crouter and Alan Booth. National Symposium on Family Issues (15th : 2007 : Pennsylvania State University)	43261	101646944	Work Life Policies	Work Life Policies		
Journal of developing drugs	43262	101646699	J Dev Drugs	J Dev Drugs		2329-6631
IEEE/ACM transactions on audio, speech, and language processing	43263	101646714	IEEE/ACM Trans Audio Speech Lang Process	IEEE/ACM Trans Audio Speech Lang Process	2329-9290	2329-9304
Poromechanics V : proceedings of the fifth Biot Conference on Poromechanics, July 10-12, 2013, Vienna, Austria / edited by Christian Hellmich, Bernhard Pichler, Dietmar Adam. Biot Conference on Poromechanics (5th : 2013 : Vienna, Austri...	43264	101644102	Poromechanics V (2013)	Poromechanics V (2013)		
SC ... conference proceedings / SC ... High Performance Networking and Computing ; sponsored by ACM SIGARCH and IEEE Computer Society. SC (Conference : Supercomputing)	43265	101646588	SC Conf Proc	SC Conf Proc		
Journal of diabetes and obesity	43266	101646592	J Diabetes Obes	J Diabetes Obes		2376-0494
Journal of patient-centered research and reviews	43267	101646624	J Patient Cent Res Rev	J Patient Cent Res Rev	2330-068X	2330-0698
Journal of psychiatry	43269	101647190	J Psychiatry	J Psychiatry		
Thoracic cancer	43270	101531441	Thorac Cancer	Thorac Cancer	1759-7706	1759-7714
Annals of pediatrics & child health	43271	101647335	Ann Pediatr Child Health	Ann Pediatr Child Health		2373-9312
Viral hepatitis in practice	43272	101647343	Viral Hepat Pract	Viral Hepat Pract	2041-1162	2045-7863
Mass communication & society	43273	101647350	Mass Commun Soc	Mass Commun Soc	1520-5436	1532-7825
eNeuro	43274	101647362	eNeuro	eNeuro		2373-2822
Orthopedic & muscular system : current research	43276	101647386	Orthop Muscular Syst	Orthop Muscular Syst		2161-0533
EBioMedicine	43277	101647039	EBioMedicine	EBioMedicine		2352-3964
Eco.mont	43278	101647392	Eco Mont	Eco Mont	2073-106X	2073-1558
Journal of writing research	43279	101647394	J Writ Res	J Writ Res	2030-1006	2294-3307
Asian journal of medical sciences	43280	101647403	Asian J Med Sci	Asian J Med Sci	2040-8765	2040-8773
Latin American policy	43281	101647414	Lat Am Policy	Lat Am Policy	2041-7365	2041-7373
Jacobs journal of radiation oncology	43282	101647416	Jacobs J Radiat Oncol	Jacobs J Radiat Oncol		
IEEE International Conference on Bioinformatics and Biomedicine workshops IEEE International Conference on Bioinformatics and Biomedicine	43283	101647436	IEEE Int Conf Bioinform Biomed Workshops	IEEE Int Conf Bioinform Biomed Workshops		
Royal Society open science	43286	101647528	R Soc Open Sci	R Soc Open Sci		2054-5703
Recent research developments in neuroscience	43287	101237150	Recent Res Dev Neurosci	Recent Res Dev Neurosci		
International gambling studies	43288	101549448	Int Gambl Stud	Int Gambl Stud	1445-9795	1479-4276
Journal of managed care & specialty pharmacy	43289	101644425	J Manag Care Spec Pharm	J Manag Care Spec Pharm	2376-0540	2376-1032
